,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
554,57675,65429,64991,65399,65477,37,61143
555,57672,65432,64990,65398,65475,35,61144
556,57670,65435,64992,65399,65476,34,61146
557,57674,65430,65002,65401,65476,36,61145
558,57676,65428,65002,65400,65476,34,61148
559,57678,65439,64993,65400,65477,36,61146
560,57678,65433,64995,65399,65477,36,61147
561,57680,65438,65002,65400,65479,37,61144
562,57669,65435,64998,65402,65477,37,61147
563,57672,65435,65001,65400,65477,36,61145
564,57671,65430,64992,65400,65476,36,61145
565,57677,65429,64989,65399,65477,35,61150
566,57668,65428,65004,65399,65477,36,61146
567,57663,65432,65002,65400,65476,35,61149
568,57676,65430,64988,65400,65476,35,61146
569,57679,65429,64996,65400,65477,35,61146
570,57675,65432,64990,65401,65477,36,61145
571,57671,65435,64991,65401,65476,36,61146
572,57673,65436,65002,65401,65475,36,61144
573,57672,65431,64989,65400,65476,34,61148
574,57676,65422,65000,65400,65477,36,61147
575,57675,65432,64993,65400,65478,37,61145
576,57676,65425,64985,65400,65477,34,61143
577,57681,65436,64988,65399,65476,33,61143
578,57678,65440,64976,65400,65477,35,61145
579,57668,65436,64987,65400,65475,34,61144
580,57674,65430,65001,65401,65477,35,61144
581,57672,65429,64994,65400,65477,36,61144
582,57679,65427,64993,65401,65477,35,61142
583,57673,65435,65000,65400,65476,36,61143
584,57670,65441,64988,65400,65477,35,61143
585,57670,65431,64996,65400,65475,36,61144
586,57670,65424,65001,65400,65476,36,61144
587,57670,65431,65002,65400,65477,35,61140
588,57665,65428,65005,65400,65476,36,61142
589,57668,65426,64991,65400,65476,36,61143
590,57672,65435,65002,65399,65476,35,61143
591,57670,65436,64996,65398,65476,35,61143
592,57673,65434,64996,65400,65477,36,61140
593,57674,65432,64996,65400,65474,36,61141
594,57666,65432,64999,65400,65475,37,61143
595,57667,65431,64990,65401,65477,36,61143
596,57669,65434,64997,65401,65476,35,61145
597,57674,65445,64999,65399,65476,34,61141
598,57670,65429,65009,65399,65478,37,61142
599,57678,65433,64997,65401,65476,36,61145
600,57673,65435,64997,65401,65478,35,61140
601,57669,65428,64996,65402,65477,35,61144
602,57672,65438,64994,65400,65476,34,61143
603,57673,65431,64992,65400,65478,35,61142
604,57663,65435,64986,65400,65477,34,61140
605,57669,65435,65001,65401,65476,35,61143
606,57674,65426,64995,65400,65477,36,61139
607,57668,65426,64998,65400,65478,35,61142
608,57667,65430,65009,65400,65477,37,61144
609,57672,65430,64993,65400,65477,35,61143
610,57677,65434,64987,65401,65477,36,61143
611,57674,65430,65002,65400,65477,35,61141
612,57677,65432,64999,65401,65477,37,61141
613,57673,65434,64996,65401,65477,35,61145
614,57673,65438,65002,65399,65477,36,61150
615,57674,65434,64992,65400,65478,38,61145
616,57668,65434,64995,65400,65476,37,61145
617,57667,65429,64996,65400,65476,35,61143
618,57670,65435,64999,65400,65475,36,61144
619,57670,65433,64993,65400,65477,35,61142
620,57680,65435,64999,65400,65478,37,61142
621,57671,65434,65004,65401,65477,35,61142
622,57683,65437,64993,65400,65476,35,61145
623,57670,65433,64995,65400,65475,36,61145
624,57674,65438,64997,65400,65477,36,61143
625,57674,65435,64992,65400,65477,35,61144
626,57675,65441,64996,65400,65477,34,61145
